Author	DOB
Paul Rodenko	26 november 1920
S. de Danser	ca. 1577
Claudine Witsen Elias	1897
Dick Voerman	1920
Li Tai Po	ca. 701
Wang-seng-yoe	6de eeuw
Tu Fu	712
Su Tung po	1036
Gerrit Borgers	18 september 1917
Cenne de la Chitarra	13de eeuw
G.J. Resink	11 oktober 1911
B.M. Baxter	20ste eeuw
J.H. Loenen	1919
Chr.J. van Geel	12 september 1917
Heere Heeresma	9 maart 1932
Beb Vuyk	11 februari 1905
J.L. Heldring	21 december 1917
W. Banning	21 februari 1888
S. Dresden	5 augustus 1914
Henri Schadee	1910
L.G. Kortenhorst	1886
P.M. Boer-den Hoed	6 juli 1899
L.J. Hartog	1924
Fred Pfeifer	14 februari 1929
Theo Joekes	1 september 1923
Martien J.G. de Jong	20 mei 1929
Victor Varangot	1912
S.F. Witstein	22 mei 1920
Ton van Oudwijk	11 september 1911
Wilfred Smit	24 juni 1933
Saskia Ferwerda	15 april 1910
Catharina Kortebos	14 oktober 1916
Th.G. Sinnige	28 maart 1920
J.G.M. Moormann	24 mei 1889
Piet Calis	6 juni 1936
Catharina van der Linden	2 november 1909
Walter Debrock	13 februari 1911
B.H.D. Hermesdorf	3 november 1894
H. Bianchi	14 december 1924
J. Bernlef	14 januari 1937
C.J.E. Dinaux	13 november 1898
Victor Spoor	16 juni 1921
C.P. Gunning	1886
Corly Verlooghen	14 december 1932
Louise van Santen	15 mei 1924
Jan F. de Zanger	4 juli 1932
Roger Pieters	14 oktober 1922
F. van der Blij	13 mei 1923
S. Carmiggelt	7 oktober 1913
Claude Korban	23 april 1936
C.J. Greshoff	1920
A. Middeldorp	13 december 1921
Fokke Sierksma	30 mei 1917
Jaap Harten	22 september 1930
Mia van der Haegen	1918
Marcel Leemans	20ste eeuw
Marcel van de Velde	28 mei 1898
Lode de Visscher	7 mei 1925
C.O. Jellema	9 september 1936
B. Nieskens-Isphording	1937
Ivo Schöffer	20 mei 1922
Willem Brakman	13 juni 1922
R.J. Forbes	21 april 1900
G.W. Ovink	22 oktober 1912
Paul de Wispelaere	4 juli 1928
Henri Sandberg	18 augustus 1898
Eddy de Vries	20ste eeuw
Wim Hijmans	17 augustus 1926
P. Gros	20ste eeuw
Nanne van der Zijpp	2 april 1900
J.I.S. Zonneveld	31 augustus 1918
Paul R. Rijkens	1942
A. Schaafsma	1906
B.J. van Eyk	19 december 1899
J.M.J. Kooy	13 juli 1902
H.F. van Panhuys	1916
Maarten Rooij	17 april 1906
H. Nieuwenhuis	1904
J. Kassies	1920
Hella S. Haasse	2 februari 1918
Arie Querido	1901
J. Droogleever Fortuyn	12 april 1906
M. Gruber	9 november 1921
Nol Gregoor	10 augustus 1912
H.W.F. Stellwag	26 september 1902
H.P.H. Jansen	4 juli 1928
H. van Riessen	1911
Jan Wolkers	26 oktober 1925
Max Nord	1 april 1916
K. Schippers	6 november 1936
Jacques Hamelink	12 januari 1939
B.V.A. Röling	1906
A.L. Constandse	13 september 1899
C.A. Zaalberg	27 november 1909
Francisco Carrasquer	30 juli 1915
Tom Kerber	20ste eeuw
A.J. Dekker	1939
James Brockway	21 oktober 1916
M.D. Ozinga	10 november 1902
Karel De Clerck	10 mei 1934
Willem van Toorn	4 november 1935
Lizzy Sara May	28 januari 1918
François Meyer	20ste eeuw
H.A. Combé	20ste eeuw
Marcus de Jong	1901
Tj.S. Visser	21 november 1898
V.W.D. Schenk	20 mei 1902
F.J.F.M. Duynstee	1914
G.A. van Poelje	31 januari 1884
R.A. Cornets de Groot	3 februari 1929
H. Leffelaar	20 januari 1929
Jan Aler	1910
Martin J. Klein	1924
Burny Every	24 april 1939
Bernardo Ashetu	4 maart 1929
Erik Vos	1929
E. Eijkemans	1904
Han Lammers	1931
Marko Fondse	9 juni 1932
Ger Harmsen	1922
L.H. Janssen	1921
Hans Sleutelaar	22 september 1935
Jakobus Kloek	
F.E. Frenkel	1923
Leo Ross	15 juli 1934
Ewald Vanvugt	16 april 1943
C.B. Vaandrager	26 augustus 1935
Felipe M. Lorda Alaiz	1918
A. Kramer	20ste eeuw
K. Rijsdorp	
W.J.C. Buitendijk	11 april 1906
P. Hummelen	1914
W.L. Brugsma	18 juli 1922
G. Puchinger	1 april 1921
J.M.J. Sicking	1 maart 1936
G. van der Meer	1944
H. van der Linde	1915
Albert Besnard	22 juni 1887
W. Boswinkel	21 maart 1928
J. Brugman	mei 1923
Floris Evers	1938
Hendrik van Teylingen	6 juni 1938
R.L.K. Fokkema	2 januari 1938
W. Gortzak	22 april 1931
Carl Friedrich von Weizsäcker	1912
Jan Hanlo	29 mei 1912
O.M. de Vaal	29 juni 1916
David Maarschalk	3 april 1829
Joris Diels	1903
Bertram Joseph	1915
Ben Jonson	1573
John Milton	1608
N. Brugman-Begemann	1938
Samuel Johnson	1709
Coenraad van Emde Boas	17 juni 1904
Neeltje Maria Min	21 juli 1944
J.A.G. Tans	22 november 1914
H.C.J. Duijker	10 oktober 1912
Ton Lathouwers	1932
A.M. Meerloo	1903
Huug Kaleis	17 april 1928
D.U. Stikker	5 februari 1897
S.C. Derksen	1915
S.R. de Groot	1916
Michaël Slory	4 augustus 1935
H.J.A. Hofland	20 juli 1927
Frits Kief	1908
Nico Scheepmaker	13 november 1930
Reinbert de Leeuw	1938
Harry Mesterom	20ste eeuw
F.B. Löhnis	24 januari 1851
Abram de Swaan	1942
Lydia van Rietschote	1949
Henk Sneevliet	1883
Wim Klinkenberg	1923
Sem Davids	8 februari 1897
J.W. Holsbergen	3 februari 1915
Henk van Kerkwijk	28 mei 1940
Bob den Uyl	27 maart 1930
Herman Gorter	26 november 1864
Hans Keller	2 februari 1937
Helen Knopper	18 juni 1934
H.M. Voetelink	29 maart 1919
R. Roegholt	24 oktober 1925
Peter van Lieshout	10 januari 1946
Edmond Campers	17 maart 1854
Peter Schat	1935
J.H. Donner	6 juli 1927
G.A.C. Hubers	21 februari 1937
Wim Zaal	1935
Mark Insingel	3 mei 1935
Eldert Willems	16 mei 1923
B.J. Fris	1920
Rommert Boonstra	7 april 1942
Willem Frederik Hermans	1 september 1921
Marianne Meester	1943
Sonja Prins	14 augustus 1912
J.H. Mak	1937
Martin Hartkamp	14 september 1943
H.C. ten Berge	24 december 1938
Henry Faas	8 september 1926
Benno J. Stokvis	1901
Frank Diamand	1939
Arnold de Vos	1937
Paul Steenhauer	1944
G. van Benthem van den Bergh	27 januari 1933
Hans Vlek	2 juli 1947
Cees de Jong	1931
H.A. Gomperts	26 december 1915
Johan de Meester jr.	24 juni 1897
A.J. Westerman Holstijn	19de eeuw
Joop den Uyl	9 augustus 1919
Daniel de Lange	20ste eeuw
J. Sperna Weiland	30 mei 1925
J.W. Hingst	19 mei 1899
Henriette van Duin	20ste eeuw
Paulien Selter	20ste eeuw
Alette Beaujon	1 mei 1933
Simon Koster	1900
Rudi Fuchs	28 april 1942
Judith Herzberg	4 november 1934
Frits Dekking	10 april 1913
R.J.C. Cornegoor	26 juni 1923
Milo Anstadt	10 juli 1920
Ferenc Karinthy	2 juni 1921
Annie Romein-Verschoor	4 februari 1895
H. Daudt	12 januari 1925
Joop van Tijn	12 september 1938
Bart Tromp	16 oktober 1944
Wim van Rees	20ste eeuw
Misha Mengelberg	5 juni 1935
Lo van Hensbergen	
L.H.C. Hulsman	1923
Jan J. Klant	1 maart 1915
J. Bosch	1910
Aad van der Mijn	1928
Dick Hillenius	29 mei 1927
Teo Anton van Kooten	1938
Bas van de Werk	1938
Louis Andriessen	6 juni 1939
Jan Rogier	1929
Frits Staal	3 november 1930
Wilbert Bank	25 juni 1942
Fenna van den Burg	1 augustus 1925
Paul van 't Veer	1922
Krijn ter Braak	28 juni 1941
C.H.A. Broos	1940
L.H. Wiener	16 februari 1945
Johan T. van Minnen	31 oktober 1932
Arend Heyting	9 mei 1898
G.M.N. Verschuuren	1945
A.J. Cuppen	22 september 1924
Johan Jansen	1946
Huib Riethof	1941
M.E. Kronenberg	12 juli 1881
David Kettler	1930
G.H. van Es	20ste eeuw
Kees Ouwens	27 juni 1944
Nic Brink	20ste eeuw
Theo de Boer	24 april 1932
K. Zickhardt	1922
W. Draijer	17 juni 1924
Riekus Waskowsky	15 oktober 1932
Rudolf Geel	27 januari 1941
Hans Gruyters	30 juli 1931
Henri van Praag	12 september 1916
C.J. Dippel	1902
Hein Ruygers	1913
H. Linnemann	20ste eeuw
M.G. Plattel	1921
Joke Kool-Smit	27 augustus 1933
Godfried Bomans	2 maart 1913
J.J. Buskes	16 september 1899
Jos Ruting	6 februari 1909
H.J. Lankhorst	
W.K.N. Schmelzer	22 maart 1921
E.H. Toxopeus	12 februari 1918
Aad Nuis	18 juli 1933
Monika Warnenska	4 maart 1922
J. de Reus	1928
Thierry de Beaucé	14 februari 1943
Enno Endt	3 december 1923
Jan van Harten	1945
Jan van der Vegt	4 oktober 1935
Loden Vogel	25 december 1920
Abraham Sutzkever	15 juli 1913
Peter Berger	15 augustus 1936
W.J. Molenaar-de Winter	20ste eeuw
Kees Simhoffer	8 april 1934
Ben Wolken	15 juni 1924
H. Ramaer	1941
Peter Weibel	1945
Bea Vianen	6 november 1935
Theo Stibbe	1934
E. Land	1920
R.A. Maandag	20ste eeuw
E.M. Barth	3 augustus 1928
J.S. Henriksson	1926
Tiele Rümke	1929
Herma Vergouwe	20ste eeuw
Rutger Kopland	4 augustus 1934
Arnold Spauwen	23 december 1946
Aryiris Chionis	22 april 1943
M. Blijstra	20ste eeuw
Lau Mazirel	1907
J.T. Barendregt	16 februari 1924
H.M. Ruitenbeek	20ste eeuw
M.C. Brands	12 oktober 1933
A.G. van der Spek	13 december 1923
J.A.H.J.S. Bruins Slot	8 januari 1906
Th. van Tijn	1927
H. Schaafsma	1924
Johan Goudsblom	11 oktober 1932
L.J. Zimmerman	27 februari 1913
Klaus Siegel	1934
Wilna Burger	2 februari 1925
Luk Wenseleers	1943
Dirk van Dalen	20 december 1932
Bastiaan Willink	1945
J. van der Gaag	7 januari 1905
Nicolás Guillén	10 juli 1902
Jacques Vallier	20ste eeuw
P. Eldering	20ste eeuw
Lucas van der Land	5 februari 1923
Alejo Carpentier	26 december 1904
Mia Boxman	20ste eeuw
Constance E. van der Maesen	1930
Heberto Padilla	1932
R.J.A. van Suchtelen van de Haere	20ste eeuw
Guy Kilian	1939
Louis Ferron	4 februari 1942
A.L.R. Fernhout	20ste eeuw
B. Lipschits-Linnewiel	20ste eeuw
Rein Bloem	20 april 1932
Hans Knoop	1944
Thera Coppens	19 mei 1947
Wiek Röling	1936
Huub Oosterhuis	1 november 1933
Wessel te Gussinklo	9 januari 1941
Tom van Deel	21 februari 1945
Gerard Termorshuizen	1935
Hans van de Waarsenburg	21 juli 1943
Jules Dister	1943
Frans Brüggen	30 oktober 1934
T.M.T. Coolen	13 juni 1943
Astère Michel Dhondt	12 oktober 1937
Wim Rouw	1943
Jane Debrot	20ste eeuw
Pieter A.M. Seuren	1934
S.C. Dik	6 september 1940
W.F. Wertheim	16 november 1907
A. van Dantzig	23 december 1920
Hendrik Conscience	3 december 1812
Peter Collier	2 juni 1939
Else Hoog	1937
Orlando Emanuels	19 september 1927
Roel van Duyn	20 januari 1943
Oscar Timmers	13 september 1931
Ho Chi Minh	19 mei 1890
Konrad Boehmer	24 mei 1941
Vasilis Vasilikos	1933
C. Gorisse	20ste eeuw
Kenneth Keniston	ca. 1930
L.L. Coïni	1945
Gerrit Bakker	10 april 1939
Leo Haring	1938
Jan Geurt Gaarlandt	9 oktober 1946
Jacques L. Schmitz	1946
Robert Paul Flipse	2 augustus 1944
Leo Geurts	1942
Lambert Meertens	1944
Lieuwe Brouwers	20ste eeuw
Fred Batten	26 december 1910
César Vallejo	1892
Oswaldo Salazar	1943
Karen Spalding	20ste eeuw
Petronella Everdina Eldering	6 oktober 1909
Percy B. Lehning	1944
J.F. Glastra van Loon	16 maart 1920
Bertus Dijk	11 augustus 1924
Nicanor Parra	1914
Han ten Brummelhuis	1943
Walter Haesaert	13 januari 1935
Wim Hazeu	28 april 1940
Reinjan Mulder	1949
Kees Fens	18 oktober 1929
Eva Hoornik	20ste eeuw
Dirk Kroon	9 mei 1946
Wim Hora Adema	14 juli 1914
D.W. Bloemena	16 februari 1924
Dick Elffers	9 december 1910
P. Maliepaard	20ste eeuw
Eva Tas	1915
F. Tichelman	1929
J.D. van der Meulen	1928
Judicus Verstegen	8 oktober 1933
António Jacinto	28 September 1924
Mário de Andrade	9 oktober 1893
Luandino Vieira	20ste eeuw
Agostinho Neto	1922
Fernando Costa Andrade	20ste eeuw
Charles Bettelheim	20 november 1913
Johanna Fortuin	1936
Willem van Malsen	23 februari 1893
Mark Brusse	1937
Klaas de Jonge	1937
Aart J.M. van de Laar	1938
Go Mandersloot	1930
W.G. Wolters	1940
D. van Arkel	17 mei 1924
E. Mandel	1923
Mary McCarthy	1912
Günter Grass	16 oktober 1927
Hans Tentije	23 december 1944
H.G. Matthes	1928
G.A. Lindeboom	1905
Silvia W. de Groot	20ste eeuw
R. Dobru	29 maart 1935
Rodney Russell	3 mei 1947
Jan Voorhoeve	19 juni 1923
Ursy M. Lichtveld	20ste eeuw
Ch.J. Wooding	1932
Judith Allard-de Kom	1931
H.F. de Ziel	15 januari 1916
Pieter Polanen	6 mei 1922
Shrinivási	12 december 1926
A.F. May	20ste eeuw
Jo Löffel	28 juli 1933
Thea Doelwijt	3 december 1938
Paul Marlee	20 juni 1938
Jozef Slagveer	25 januari 1940
Edgar Cairo	7 mei 1948
Harry Kensmil	1932
R. de Jong	1932
Gerrit Huizer	1929
Michael Wilson	1944
Wim Huyskens	1939
Wouter Donath Tieges	15 mei 1945
Geerten Meijsing	9 augustus 1950
F.A. Snellaert	21 juli 1809
G.P.F. Buddingh'	5 januari 1926
Norbert Elias	22 juni 1897
Anton Korteweg	31 januari 1944
Frida Balk-Smit Duyzentkunst	12 april 1929
Hugo Pos	28 november 1913
Hugo Brandt Corstius	29 augustus 1935
P.Th. Hugenholtz	28 februari 1903
P.A. Verburg	1905
Ans van Haersolte	9 juli 1911
Lodewijk Prins	1913
Ed. Ebels	1944
Anneke Jansen	20ste eeuw
R. Sierksma	1946
Kees Winkler	22 mei 1927
Cyrille Offermans	8 april 1945
Rob Vermeulen	20ste eeuw
Wijnand Steemers	1 december 1947
Ton Anbeek	18 september 1944
Geert Evert Booij	9 september 1947
Theo de Jong	1943
Cas Wouters	1943
Reinout Bakker	2 november 1920
A. Ladan	1944
Piet van Caldenborgh	20ste eeuw
Fritz Zondervan	20ste eeuw
W.H. van der Linden	1934
C. van de Haar	1925
H.J. Vieu-Kuik	20ste eeuw
H. de Lange	19de eeuw
O.J. de Jong	14 oktober 1926
H.F.J.M. van den Eerenbeemt	1 januari 1930
W.M. Zappey	1931
Rob Rentenaar	1938
W. Burger	1931
Peter Harper	20ste eeuw
Ivan Illich	4 september 1926
C. Schepel	1938
John H. Schaar	20ste eeuw
Sheldon S. Wolin	20ste eeuw
Bart van Steenbergen	1940
Bram van der Lek	1931
Peter Hoefnagels	26 oktober 1927
J.J.G. Syatauw	1923
A. van 't Laar	1945
J.Th.M. Palstra	1943
Hugh P. Gallacher	1946
C.J. Stigter	1940
Frans Verpoorten jr.	1947
Keith Snell	16 maart 1951
Erwin Garden	20ste eeuw
J. Hetterschij	1937
H.H. ter Balkt	17 september 1938
H.M.A. Struyker Boudier	1934
Fred Bornstein	1940
D.W. Fokkema	4 mei 1931
Bouke B. Jagt	5 mei 1942
Fons Elders	1936
Bernt Luger	1934
Ben Bos	1934
Jaap van Ginneken	1943
R.D. Schuiling	26 februari 1932
A.L. Vos	17 januari 1919
Friedhelm Debus	3 februari 1932
Mischa de Vreede	17 september 1936
Camiel Hamans	1948
Dolph Kohnstamm	20 februari 1937
J.R. Slotemaker de Bruine	6 mei 1869
Matthijs Siegenbeek	23 juni 1774
L.U. de Sitter	1930
H. Baudet	29 januari 1919
C.D. Saal	1917
S.J. Doorman	7 december 1928
J.M.W. van Ussel	1918
J. van Baal	25 november 1909
E.V.W. Vercruijsse	1927
Jan Donkers	15 juni 1943
Adam Szirmai	1946
Eddy van Vliet	11 september 1942
H.J. Verkuyl	1938
Raymond ten Berge	1939
Jan W.H. Wentink	1945
W.E. Krul	1950
Marianne Vos	1947
Rob Bognár	1946
Bert Vanheste	6 november 1937
Berend Lasseur	1946
Jan Pluvier	12 januari 1927
Imke van der Steur	1932
Derek Phillips	1934
M.C.A. Brongers	20ste eeuw
Paul Goodman	1911
Sorin Alexandrescu	18 augustus 1937
Adrian Pâunescu	20ste eeuw
Nikita Stänescu	20ste eeuw
Leonid Dimov	11 januari 1926
Sorin Marculescu	20ste eeuw
Liesbeth Ziedses	20ste eeuw
Irene Langedijk	20ste eeuw
Betty van Veelen	20ste eeuw
Jacques van Alphen	1946
Ad Kooyman	1943
Peter Hofstede	20ste eeuw
J.Th. Snijders	1910
Tessel Pollmann	1940
Hermann H. Frese	1927
Lien Heyting	1948
Ph.P. Everts	22 januari 1938
Richard B. du Boff	20ste eeuw
Alvin W. Gouldner	29 juli 1920
Hidde van der Ploed	1933
P. Schumacher	1933
Hessel Miedema	21 januari 1929
Julio Cortázar	26 augustus 1914
Barber van de Pol	1944
E. van der Starre	1935
T. Varekamp	20ste eeuw
Margaret Abels	20ste eeuw
Armando	18 september 1929
Jacob Groot	2 juli 1947
Samuel de Lange	1947
Michel Korzec	12 mei 1945
M.J. Broekmeyer	1927
Eva Vondeling	20ste eeuw
Józef Lewandowski	1923
Annie Gransch	20ste eeuw
Nadjezjda Mandelstam	31 oktober 1899
Alexander Münninghoff	1944
Ilja Ehrenburg	27 januari 1891
I.F. Fedorov	20ste eeuw
Bessie Schadee	20ste eeuw
Joeri Galanskov	19 juni 1939
Esselien 't Hart	24 maart 1946
Aleksander Ivanov	20ste eeuw
Wim van Dam	20ste eeuw
Michail Kalik	20ste eeuw
Vikentij Gerasimtsjoek	20ste eeuw
Adam Tern	20ste eeuw
Jan van Eijk	20ste eeuw
Jos J.B. van der Putten	20ste eeuw
Franco Ferrarotti	7 april 1926
Guy Desrole	1939
Irene van Grinsven	20ste eeuw
Els de Graaf	1939
A.P. van Goudoever	1944
Nico Wilterdink	1946
Han de Vries	25 mei 1924
Laurens van Krevelen	1941
Gerbrand Muller	1939
Ruud A.J. Kraaijeveld	1951
Hugues C. Pernath	15 augustus 1931
Willy Lauwens	1929
Thea Diepenbrock	10 juli 1907
L.J. Boon	20ste eeuw
C.W. Aakster	1939
A.J. Dunning	14 december 1930
Hilbert Kuik	11 februari 1938
P. Hirschler	1914
Chris Mast	1946
C.J.B.J. Trimbos	21 april 1920
G.A. Ladee	20ste eeuw
J.H. de Haas	17 augustus 1900
C.D. Fuchs	20ste eeuw
G.C. Lijphart-Bezuidenhout	1931
Bart van Heerikhuizen	1948
R.A. Basart	2 september 1946
Marcel van der Linden	1952
Bert Menco	1946
Tim Krabbé	13 april 1943
Willem M. Roggeman	9 juli 1935
Noam Chomsky	7 december 1928
Robert S. Cohen	18 februari 1923
J. Pen	15 februari 1921
Margreet Blankesteijn-Blees	1927
José Cardoso Pires	1925
August Willemsen	16 juni 1936
Hans Faverey	14 september 1933
C.P. Bertels	10 september 1939
Anton Haakman	7 september 1933
Francisco Marinho	1941
Joanna Martinez-Horsman	20ste eeuw
Jan Stroop	1938
Hans Plomp	29 januari 1944
Gerben Hellinga	29 december 1937
Antal Sivirsky	1909
Rita Verschuur	25 juli 1935
Maarten 't Hart	25 november 1944
Boris Tomas	20ste eeuw
René Marres	1936
Arnold Cornelis	1934
Siep Stuurman	1946
E.C.P. van Waalwijk van Doorn	1949
H.R. van Gunsteren	1940
J.H. Kamstra	29 mei 1926
Anton Blok	15 februari 1935
Paul Knolle	20ste eeuw
H.M. Reijzer	20ste eeuw
Esteban López	29 augustus 1931
Peter Zonderland	1947
Cor Blok	1934
Lidy van Marissing	26 april 1942
Herman Pleij	1943
Johan Kuin	1918
H.E. Ruitenberg	1936
Jak van der Meulen	1928
Jean Améry	31 oktober 1912
P.R. Baehr	1 januari 1935
Martin Mooij	1 september 1930
Hans Carl Artmann	12 juni 1921
Elisaveta Bagrjana	16 april 1893
Kristien Warmenhoven	20ste eeuw
Keorapetse Kgositsile	1940
Michael Krüger	9 december 1943
Mazisi Kunene	1930
Philip Levine	10 januari 1928
Ruud Löbler	20ste eeuw
Czeslaw Milosz	30 juni 1911
János Pilinszky	1921
Sylvia Bodnár	1946
Waldo Rojas	22 augustus 1944
Sapardi Djoko Damono	20 maart 1940
Mongane Wally Serote	8 mei 1944
Charles Tomlinson	8 januari 1927
Kazuko Shiraisi	27 februari 1931
Noriko de Vroomen-Kondo	20ste eeuw
Raymond Benders	1943
Martin Lusse	1947
Hugo Röling	1945
P.A. Wackie Eysten	1939
Gust Gils	20 augustus 1924
V.S. Naipaul	17 augustus 1932
George Huppert	1934
Emil Bentzen	1940
Marguérite M.J. van Berckel	26 november 1933
Breyten Breytenbach	16 september 1939
Adriaan van Dis	16 december 1946
Charles Vergeer	1947
B. Bloemsma	20ste eeuw
Hans van den Bergh	3 december 1932
Paul Kapteyn	1942
F.B. Hotz	1 februari 1922
Rien T. Segers	22 oktober 1947
Pier Boorsma	15 maart 1944
Jack ter Heide	1923
Grahame Lock	1946
Ton Korver	1946
M. Fennema	21 mei 1946
Thom Holterman	1942
Margriet Poort	1946
Elmer Schönberger	1950
Wiel Kusters	1 juni 1947
Jules A. Deelder	24 november 1944
Mieke Westra	20ste eeuw
Aline Glastra van Loon	20ste eeuw
Christine Brinkgreve	8 augustus 1949
Alex Korzec	1947
J.J. Witkam	1945
Arie Gelderblom	16 juni 1945
Maria van der Moer	1947
Peter Nijmeijer	26 april 1947
Paul Celan	23 november 1920
J.W. Niemeijer	14 mei 1870
Jaime Mendizábal	20ste eeuw
Frans de Rover	1946
Magda van Emde Boas	17 oktober 1917
Stefan Morawski	20 oktober 1921
H.L.C. Jaffé	1915
Maartje Draak	25 maart 1907
Joep à Campo	20ste eeuw
Sjoerd Kuyper	6 maart 1952
Hans van Lier	1938
F.G. Droste	4 juli 1928
Pieter de Meijer	1932
Alex van Gelder	1937
Peter van Zonneveld	1948
Fernando Schellen	1934
A.K. Koekkoek	15 januari 1945
C.J.M. Schuyt	1943
Cees Cruson	1944
Ton Zwaan	1946
Philip Ramp	1940
John Berger	5 november 1926
Max Arian	1940
Loek Esmeijer	1932
Arthur Mitzman	1931
B.J.S. Hoetjes	1945
Petrus Adrianus Johannes Bentvelzen	1938
J.J. van der Werff ten Bosch	23 april 1927
M.B. ter Borg	2 augustus 1946
Louis Boon	1948
August Heyting	1879
Hans Magnus Enzensberger	11 november 1929
Leo Damen	1945
R.Th.R. Wentges	1933
Ampie Coetzee	1939
Hans Ester	27 juli 1946
Gérard van den Eerenbeemt	28 juli 1936
Leo Fretz	1936
W. van Dort	1919
Marcel Baudet	1951
Godert van Colmjon	17 oktober 1943
Walter van der Star	1954
Dick Pels	1948
R.H.J. Egeter van Kuyk	19 juni 1942
Lloyd Haft	9 november 1946
H.J. Smeding	1899
Albert Dijkstra	20ste eeuw
B.F. Galjart	1933
A.Th. Derksen	1946
Patrick Conrad	16 juli 1945
Marcel van Maele	10 april 1931
Hugo Raes	26 mei 1929
Toon Tellegen	18 november 1941
E.J. Dommering	11 april 1943
Leendert Witvliet	25 juni 1936
Th.J. de Jong	1928
Joyce van Lankeren	1946
J.N. Swallow	1931
Margreet Hirs	1941
Erika Dedinszky	1942
W. van Drimmelen	20 juli 1944
Botto van den Bergh	23 maart 1929
Boudewijn Büch	14 december 1948
Carlo Ginzburg	1939
Peter van Gestel	3 augustus 1937
Freek Bruinsma	1947
I. van der Sluis	1932
J.J. Klinkert	1947
Jan Noordzij	20ste eeuw
Jan de Bruin	1943
Geert Rooijakkers	1943
Jan Kommandeur	29 november 1929
F. Vos	1918
Akira Nagazumi	1929
Rudy Kousbroek	1 november 1929
Ango Sakaguchi	1906
W.G. Snellen	20ste eeuw
Jan Noordhoek	20ste eeuw
Frans Boenders	28 september 1942
E.G. de Poorter	1943
M.J. de Meijer	20ste eeuw
Wim Markus	20ste eeuw
Jaap Oostermann	20ste eeuw
Rudolf Dekker	1951
J.H. van Geemert	1950
Pieter Spierenburg	1948
